id_municipio,taxa_microdados,taxa_publicada,diferenca_abs
1505494,43.859649122807014,44.75,0.8903508771929864
1505502,57.05394190871369,56.72,0.33394190871369034
1505536,50.59565522074282,49.49,1.1056552207428183
1505551,48.4375,48.91,0.4724999999999966
1505601,84.28571428571429,84.31,0.02428571428571047
1505635,56.86274509803921,57.18,0.3172549019607871
1505650,57.14285714285714,55.72,1.42285714285714
1505700,57.786885245901644,57.13,0.6568852459016412
1505809,42.42819843342037,40.72,1.708198433420371
1505908,81.16279069767441,81.16,0.0027906976744134226
1506005,44.469026548672566,43.28,1.1890265486725653
1506104,50.37593984962406,49.94,0.43593984962406296
1506112,47.55244755244755,47.3,0.25244755244755623
1506138,58.333333333333336,58.25,0.0833333333333357
1506161,55.70776255707762,56.31,0.6022374429223802
1506187,69.9468085106383,68.8,1.1468085106383086
1506195,54.6875,54.76,0.07249999999999801
1506203,50.857142857142854,50.44,0.41714285714285637
1506302,49.73821989528796,49.47,0.2682198952879631
1506351,46.484375,46.35,0.13437499999999858
1506401,51.92307692307693,52.31,0.38692307692307537
1506500,34.07310704960835,34.18,0.10689295039164648
1506559,40.50632911392405,39.77,0.7363291139240502
1506583,43.08943089430895,42.45,0.6394308943089442
1506609,40.08438818565401,39.79,0.2943881856540074
1506708,58.82352941176471,58.51,0.31352941176471205
1506807,51.26237623762376,51.29,0.027623762376236982
1506906,78.68852459016394,78.25,0.4385245901639365
1507003,31.722054380664655,31.66,0.062054380664655184
1507102,69.28571428571428,69.85,0.5642857142857167
1507151,39.69072164948454,40.37,0.6792783505154603
1507201,32.608695652173914,32.97,0.3613043478260849
1507300,31.25,30.95,0.3000000000000007
1507409,37.86407766990291,37.44,0.42407766990291407
1507458,52.6984126984127,52.06,0.6384126984127008
1507474,40.54054054054054,40.76,0.21945945945945766
1507508,34.51776649746193,35.42,0.9022335025380741
1507607,50.29585798816568,49.59,0.7058579881656755
1507706,47.48010610079575,47.41,0.07010610079575486
1507755,70.23809523809523,71.84,1.6019047619047768
1507805,37.00305810397553,35.9,1.1030581039755347
1507904,52.40506329113924,52.41,0.0049367088607539245
1507953,38.3,37.9,0.3999999999999986
1507961,50.0,49.88,0.11999999999999744
1507979,66.13418530351439,65.58,0.5541853035143873
1508001,49.68325791855204,49.49,0.19325791855203533
1508035,36.26943005181347,37.16,0.8905699481865241
1508050,62.55506607929515,62.19,0.3650660792951541
1508084,48.82226980728051,48.54,0.2822698072805139
1508100,45.22968197879859,44.7,0.5296819787985854
1508126,62.06896551724138,61.52,0.5489655172413777
1508159,61.20906801007556,60.84,0.36906801007555856
1508209,38.25503355704698,37.71,0.5450335570469775
1508308,38.41642228739003,38.21,0.20642228739002633
1508357,69.58174904942965,70.18,0.5982509505703604
1508407,49.248747913188645,49.27,0.021252086811358595
1600055,73.46938775510205,73.61,0.14061224489795165
1600105,19.41747572815534,19.03,0.38747572815533715
1600154,44.565217391304344,44.22,0.34521739130434526
1600204,38.311688311688314,39.25,0.9383116883116855
1600212,53.65853658536586,53.36,0.29853658536585925
1600238,76.2589928057554,74.96,1.2989928057554039
1600253,41.904761904761905,43.57,1.6652380952380952
1600279,40.07421150278293,39.8,0.2742115027829328
1600303,49.50448324681454,49.14,0.3644832468145367
1600402,43.51585014409222,44.22,0.7041498559077795
1600501,21.354166666666664,21.03,0.32416666666666316
1600535,73.22834645669292,73.42,0.1916535433070834
1600550,29.166666666666668,30.66,1.4933333333333323
1600600,55.319148936170215,55.32,0.0008510638297849482
1600709,94.05204460966543,94.21,0.15795539033456407
1600808,35.88235294117647,35.39,0.49235294117647044
1700251,75.0,75.0,0.0
1700301,40.25974025974026,40.89,0.6302597402597385
1700350,75.38461538461539,76.09,0.7053846153846166
1700400,47.61904761904761,48.18,0.5609523809523864
1700707,71.81818181818181,72.02,0.201818181818183
1701002,46.206896551724135,46.69,0.4831034482758625
1701051,58.82352941176471,59.12,0.2964705882352874
1701101,35.714285714285715,35.78,0.06571428571428584
1701309,52.72727272727272,52.57,0.15727272727271924
1701903,50.0,49.27,0.7299999999999969
1702000,38.983050847457626,40.54,1.5569491525423729
1702109,50.811359026369175,50.51,0.3013590263691768
1702158,38.095238095238095,37.81,0.2852380952380926
1702208,50.641025641025635,50.5,0.1410256410256352
1702307,67.6923076923077,68.32,0.6276923076922998
1702406,61.1764705882353,61.2,0.0235294117647058
1702554,59.68586387434554,59.95,0.2641361256544599
1702703,41.37931034482759,41.94,0.5606896551724105
1702901,40.20618556701031,40.2,0.006185567010305704
1703008,19.11764705882353,19.17,0.05235294117647271
1703057,37.77777777777778,36.96,0.8177777777777777
1703073,18.055555555555554,18.26,0.20444444444444798
1703107,50.0,49.74,0.259999999999998
1703206,58.92857142857143,59.26,0.3314285714285674
1703305,28.8135593220339,28.56,0.25355932203390097
1703602,68.96551724137932,68.9,0.06551724137931103
1703701,49.2063492063492,49.45,0.24365079365080078
1703800,50.442477876106196,50.39,0.052477876106195254
1703826,64.0,64.0,0.0
1703842,38.513513513513516,38.52,0.006486486486487308
1703867,52.63157894736842,52.01,0.6215789473684197
1703883,27.77777777777778,27.47,0.3077777777777797
1703891,23.52941176470588,23.86,0.33058823529411896
1703909,31.666666666666664,31.53,0.13666666666666316
1704105,66.66666666666666,66.67,0.0033333333333445125
1704600,6.25,6.25,0.0
