id_municipio,sigla_uf,risco_medio,alunos,criancas_em_risco,nome_municipio_ibge
3543402,SP,0.36857183707484853,4826,1778.7276857232189,Ribeirão Preto
3305109,RJ,0.6467889161562888,2705,1749.5640182027612,São João de Meriti
2933307,BA,0.5740677711826444,3039,1744.5919566240564,Vitória da Conquista
2607901,PE,0.38030232250256807,4576,1740.2634277717516,Jaboatão dos Guararapes
3201308,ES,0.3681509140704599,4561,1679.1363190753677,Cariacica
3302502,RJ,0.5266658830415535,3070,1616.864260937569,Magé
5201405,GO,0.2945855763657947,5484,1615.507300790018,Aparecida de Goiânia
3547809,SP,0.34845298980617617,4594,1600.7930351695734,Santo André
1504208,PA,0.470881140185174,3327,1566.621553396074,Marabá
3541000,SP,0.38946268430067904,3940,1534.4829761446754,Praia Grande
4205407,SC,0.424595232425941,3601,1528.9674319658136,Florianópolis
3552502,SP,0.4058785943497609,3619,1468.8746329517849,Suzano
5003702,MS,0.4413196434013724,3322,1466.0638553793592,Dourados
1505536,PA,0.4477482615760522,3266,1462.3458223073865,Parauapebas
3136702,MG,0.415980835395291,3500,1455.9329238835185,Juiz de Fora
4113700,PR,0.28502229698986087,5090,1450.7634916783918,Londrina
2905701,BA,0.6007916092772029,2381,1430.48482168902,Camaçari
4304606,RS,0.5734287799131659,2477,1420.3830878449119,Canoas
3118601,MG,0.27875624113539366,5046,1406.6039927691963,Contagem
4309209,RS,0.5832654662918375,2392,1395.1709953700754,Gravataí
4323002,RS,0.5909849989222057,2345,1385.8598224725724,Viamão
3154606,MG,0.39064117204932997,3541,1383.2603902266774,Ribeirão das Neves
1502400,PA,0.6547791282077738,2112,1382.8935187748184,Castanhal
2504009,PB,0.4490209351150108,3044,1366.8197264900928,Campina Grande
5108402,MT,0.33063755253023064,4048,1338.4208126423737,Várzea Grande
3518701,SP,0.4353419031132948,3058,1331.2755397204555,Guarujá
3549805,SP,0.3822439642794239,3437,1313.77250522838,São José do Rio Preto
3205200,ES,0.3021479486871824,4331,1308.602765764187,Vila Velha
