id_municipio,municipio,sigla_uf,regiao,taxa_2025,meta_2026,esforco_necessario,alunos_avaliados_2025,risco_nao_atingir_meta
4109807,Ibiporã,PR,Sul,79.89690721649485,76.37,-3.5269072164948483,582,0.09995077551973833
2405207,Janduís,RN,Nordeste,53.84615384615385,47.98,-5.86615384615385,39,0.09993103888214235
2806206,Salgado,SE,Nordeste,56.70731707317073,55.21,-1.497317073170727,164,0.0998696542960857
3165602,Senador Cortes,MG,Sudeste,92.85714285714286,60.16,-32.697142857142865,14,0.09986464750643426
2103158,Centro do Guilherme,MA,Nordeste,89.92805755395683,80.0,-9.928057553956833,139,0.0998573377065668
3139250,Mamonas,MG,Sudeste,62.295081967213115,59.03,-3.2650819672131135,61,0.09985295510330487
4117701,Palmeira,PR,Sul,79.70711297071131,75.47,-4.237112970711308,478,0.09981040525810811
2921906,Mucugê,BA,Nordeste,62.5,59.9,-2.6000000000000014,80,0.09976822728054777
2607653,Itambé,PE,Nordeste,67.76556776556777,63.67,-4.095567765567765,273,0.09972669945583877
2931301,Tapiramutá,BA,Nordeste,58.91472868217055,54.76,-4.15472868217055,129,0.09972666738443059
3204252,Ponto Belo,ES,Sudeste,90.52631578947368,80.0,-10.526315789473685,95,0.09969175903297486
3144805,Nova Lima,MG,Sudeste,78.22120866590649,67.91,-10.311208665906491,877,0.09962888428105522
1507474,São João de Pirabas,PA,Norte,56.372549019607845,52.64,-3.732549019607845,204,0.09958641898264496
2906600,Candiba,BA,Nordeste,69.7841726618705,62.69,-7.094172661870502,139,0.09956093563790865
3160009,Santo Antônio do Aventureiro,MG,Sudeste,93.61702127659575,80.0,-13.61702127659575,47,0.0995118795140168
3124500,Estiva,MG,Sudeste,85.36585365853658,75.89,-9.475853658536579,41,0.09950657376806168
3545506,Sandovalina,SP,Sudeste,90.0,79.49,-10.510000000000005,50,0.09949526790420533
2915809,Itambé,BA,Nordeste,41.53225806451613,46.95,5.417741935483875,248,0.09938574235388938
3536570,Paulistânia,SP,Sudeste,70.96774193548387,57.94,-13.027741935483874,31,0.09937637278602732
2411908,São Francisco do Oeste,RN,Nordeste,84.0909090909091,67.95,-16.14090909090909,44,0.09935183925790457
3145877,Orizânia,MG,Sudeste,77.98165137614679,70.93,-7.051651376146779,109,0.09932889719176789
3142254,Miravânia,MG,Sudeste,75.0,59.37,-15.630000000000003,16,0.09918577816755886
3168903,Tiros,MG,Sudeste,77.52808988764045,69.17,-8.358089887640446,89,0.09916709574521441
2500304,Alagoa Grande,PB,Nordeste,63.38028169014085,53.6,-9.780281690140846,284,0.09901527023690235
3511508,Cerquilho,SP,Sudeste,73.31189710610933,70.02,-3.2918971061093316,311,0.09885009032049044
3516804,Gastão Vidigal,SP,Sudeste,82.35294117647058,66.06,-16.292941176470578,34,0.0987888913724703
5219407,Santa Rita do Araguaia,GO,Centro-Oeste,85.91549295774648,79.29,-6.625492957746474,71,0.0986150149116125
4125753,São Pedro do Iguaçu,PR,Sul,88.88888888888889,77.1,-11.788888888888891,90,0.0985887366420637
4313011,Nova Candelária,RS,Sul,88.88888888888889,80.0,-8.888888888888886,45,0.098510268835019
3504206,Auriflama,SP,Sudeste,80.0,73.9,-6.099999999999994,120,0.09846741496409851
1502707,Conceição do Araguaia,PA,Norte,59.221311475409834,58.19,-1.0313114754098365,488,0.09845050687545479
2513984,São Francisco,PB,Nordeste,100.0,67.82,-32.18000000000001,34,0.0984109929433007
2603405,Calumbi,PE,Nordeste,94.79166666666666,76.92,-17.871666666666655,96,0.09836846860350769
2911907,Iaçu,BA,Nordeste,40.400000000000006,47.54,7.1399999999999935,250,0.09829057029301148
1304203,Tefé,AM,Norte,51.10619469026548,52.51,1.4038053097345156,904,0.09825295191060435
5003801,Fátima do Sul,MS,Centro-Oeste,68.796992481203,69.95,1.153007518796997,266,0.09820533680122252
1722081,Wanderlândia,TO,Norte,65.54621848739495,56.08,-9.466218487394954,119,0.09815992931497958
3159001,Santana do Riacho,MG,Sudeste,78.18181818181819,70.0,-8.181818181818187,55,0.09811030857307056
3543204,Ribeirão do Sul,SP,Sudeste,93.61702127659575,76.78,-16.83702127659575,47,0.09807152308514094
2300606,Altaneira,CE,Nordeste,98.73417721518987,80.0,-18.734177215189874,79,0.09806727984337485
3141603,Mercês,MG,Sudeste,93.15068493150685,80.0,-13.150684931506845,73,0.09789831104690688
3159605,Santa Rita do Sapucaí,MG,Sudeste,77.56410256410257,64.27,-13.294102564102573,312,0.0978845481580051
4210209,Major Gercino,SC,Sul,84.0,65.16,-18.840000000000003,50,0.09788439491885476
2926608,Ribeira do Pombal,BA,Nordeste,58.774834437086085,55.6,-3.1748344370860835,604,0.09780058886883067
2204204,Francisco Santos,PI,Nordeste,73.68421052631578,61.18,-12.50421052631578,57,0.09779331704039441
1200385,Plácido de Castro,AC,Norte,55.83756345177665,50.32,-5.5175634517766525,197,0.09769329311977079
5208509,Goiandira,GO,Centro-Oeste,64.28571428571429,61.58,-2.7057142857142935,42,0.09768513969278597
4103958,Campina do Simão,PR,Sul,91.83673469387756,80.0,-11.83673469387756,49,0.09766106474001342
3133600,Itapeva,MG,Sudeste,75.44910179640718,65.47,-9.979101796407178,167,0.09765833261415366
4109005,Guapirama,PR,Sul,96.7741935483871,80.0,-16.774193548387103,62,0.09760163614513141
4309407,Guaporé,RS,Sul,63.10679611650486,60.84,-2.2667961165048567,206,0.09759995559157503
3153004,Pratinha,MG,Sudeste,93.87755102040816,80.0,-13.877551020408163,49,0.09758892309119775
4111704,Jaboti,PR,Sul,91.42857142857143,80.0,-11.42857142857143,70,0.0974741764027044
2206506,Monsenhor Hipólito,PI,Nordeste,90.21739130434783,80.0,-10.217391304347828,92,0.09741475143521472
3306008,Três Rios,RJ,Sudeste,73.71273712737127,66.24,-7.472737127371275,738,0.09729905700081033
1600238,Ferreira Gomes,AP,Norte,82.88288288288288,76.4,-6.482882882882876,111,0.09725002212886263
2208809,Regeneração,PI,Nordeste,64.28571428571429,59.47,-4.815714285714293,196,0.09724045775562823
5214903,Nova Roma,GO,Centro-Oeste,73.33333333333333,70.2,-3.1333333333333258,30,0.09722984176060274
2304202,Crato,CE,Nordeste,91.86524239934265,80.0,-11.865242399342648,1217,0.09721116585336084
2202026,Buriti dos Montes,PI,Nordeste,100.0,80.0,-20.0,63,0.09705683589507438
2105203,Igarapé Grande,MA,Nordeste,89.24731182795699,80.0,-9.247311827956992,93,0.09701365614153469
2414456,Triunfo Potiguar,RN,Nordeste,35.13513513513514,28.32,-6.815135135135137,37,0.09700577932206257
4116802,Nova Cantu,PR,Sul,95.45454545454545,79.72,-15.734545454545454,66,0.09700487023786518
1506559,Santa Luzia do Pará,PA,Norte,80.71065989847716,67.75,-12.96065989847716,197,0.09699836733782201
4216701,São José do Cedro,SC,Sul,87.34177215189874,77.98,-9.361772151898734,158,0.09695495707131113
4211454,Nova Itaberaba,SC,Sul,86.0,73.29,-12.709999999999994,50,0.09687077007976512
2930766,Sítio do Quinto,BA,Nordeste,64.03508771929825,61.24,-2.7950877192982446,114,0.09681588434911863
1713700,Monte Santo do Tocantins,TO,Norte,67.74193548387096,52.29,-15.451935483870962,31,0.09680554001800158
2609204,Maraial,PE,Nordeste,81.44329896907216,74.21,-7.233298969072166,97,0.0967008067738513
2406809,Lajes Pintadas,RN,Nordeste,69.56521739130434,59.71,-9.855217391304343,46,0.09667487347514725
2702504,Dois Riachos,AL,Nordeste,67.08860759493672,62.56,-4.528607594936716,79,0.09664594370791002
4120101,Porto Amazonas,PR,Sul,91.52542372881356,74.5,-17.025423728813564,59,0.09663638290733596
2905008,Caculé,BA,Nordeste,69.94818652849742,65.38,-4.568186528497421,193,0.09657656963036805
4112207,Janiópolis,PR,Sul,93.87755102040816,80.0,-13.877551020408163,49,0.09653949594655616
2514107,São João do Tigre,PB,Nordeste,82.35294117647058,57.04,-25.31294117647058,34,0.09653642474779811
5207535,Faina,GO,Centro-Oeste,78.57142857142857,76.51,-2.0614285714285643,56,0.09637825015302788
3152600,Pouso Alto,MG,Sudeste,92.3076923076923,79.12,-13.187692307692302,65,0.09637064509419967
2806305,Santa Luzia do Itanhy,SE,Nordeste,42.32804232804233,49.84,7.511957671957674,189,0.09632049236241269
2900405,Água Fria,BA,Nordeste,44.329896907216494,45.93,1.600103092783506,97,0.09622501780585799
4107256,Douradina,PR,Sul,74.75728155339806,64.59,-10.167281553398055,103,0.09620539063842001
5209606,Heitoraí,GO,Centro-Oeste,66.66666666666666,66.29,-0.37666666666665094,39,0.09619609482986775
