id_municipio,populacao,pib_per_capita,pct_vab_adm_publica
1503044,20742.0,29041.413557034037,17.32
1503077,26155.0,10540.776142229019,49.15
1503093,41678.0,12146.216229185662,38.59
1503101,34127.0,9778.650335511471,59.23
1503200,39234.0,10592.368863740634,41.96
1503309,63367.0,10896.996859564126,45.75
1503408,12009.0,14533.266716629194,30.45
1503457,67170.0,9299.478934047938,47.23
1503507,32639.0,8508.19571678054,52.98
1503606,101541.0,30306.41809712333,17.86
1503705,53439.0,15745.24223881435,29.64
1503754,6952.0,89952.96317606444,30.03
1503804,60517.0,10165.55678569658,44.77
1503903,59961.0,24196.49438801888,23.29
1504000,29623.0,16970.7659588833,27.48
1504059,30389.0,11186.514857349699,46.6
1504109,8598.0,11435.101186322401,44.75
1504208,287664.0,46997.62570220813,11.72
1504307,29559.0,9796.745492066713,54.27
1504406,28563.0,9218.009312747261,55.1
1504422,135812.0,18975.650163461254,28.95
1504455,32347.0,31645.74767366371,14.76
1504505,28121.0,7696.063440133708,71.78
1504604,31917.0,14148.134223141273,40.42
1504703,84251.0,15823.040676075061,30.59
1504752,16282.0,17712.38177128117,31.83
1504802,58289.0,13839.352193381255,35.41
1504901,41454.0,8163.024074878178,53.53
1504950,21519.0,16292.253357498024,29.84
1504976,17027.0,11300.405238738475,43.79
1505007,15646.0,9417.167327112362,49.48
1505031,25769.0,37685.009119484654,17.44
1505064,78488.0,14220.823565385792,34.89
1505106,52473.0,18396.489623234807,26.74
1505205,33182.0,12616.29799288771,40.7
1505304,74921.0,30397.218403384897,19.12
1505403,18079.0,11089.496100448034,38.52
1505437,33831.0,38485.23543495611,15.7
1505486,49110.0,17654.97861942578,28.19
1505494,7575.0,13026.138613861385,39.06
1505502,115838.0,36940.42542170963,14.48
1505536,218787.0,227418.69946569038,3.72
1505551,5339.0,21492.03970781045,32.56
1505601,8084.0,8936.170212765957,52.81
1505635,12976.0,22546.70160295931,24.29
1505650,32325.0,9991.554524361949,44.23
1505700,32007.0,8588.83994126285,54.1
1505809,63831.0,14803.152073443938,34.52
1505908,42456.0,9518.442622950819,54.62
1506005,29827.0,14672.846749589298,34.71
1506104,10889.0,29531.637432271098,22.0
1506112,13794.0,8753.516021458605,51.7
1506138,86326.0,29557.329193985588,18.39
1506161,18208.0,33042.34402460457,17.74
1506187,53242.0,13777.656737162391,34.39
1506195,52473.0,9461.685057076973,43.63
1506203,41164.0,15583.34952871441,32.73
1506302,24392.0,8614.094785175468,54.78
1506351,21811.0,11016.826372014122,46.95
1506401,10496.0,9140.243902439024,49.48
1506500,72856.0,12827.261996266609,36.59
1506559,19839.0,9874.43923584858,53.77
1506583,22244.0,48192.321524905594,10.12
1506609,25127.0,14782.385481752697,30.16
1506708,75995.0,18178.38015658925,24.24
1506807,308339.0,20716.270079360704,24.18
1506906,6796.0,8822.984108298999,62.87
1507003,32346.0,14691.955728683608,33.55
1507102,18207.0,10050.36524413687,47.73
1507151,25945.0,13825.823858161495,36.95
1507201,32285.0,13566.671829022765,37.13
1507300,135732.0,14796.577078360298,26.16
1507409,15978.0,16534.359744648893,30.46
1507458,24566.0,28914.841651062445,21.43
1507466,6294.0,9108.039402605657,56.18
1507474,23440.0,7761.9027303754265,59.05
1507508,14105.0,13236.08649415101,40.74
1507607,60268.0,13149.764385743678,36.72
1507706,27302.0,8962.273826093326,55.93
1507755,6088.0,23167.706964520366,30.33
1507805,11305.0,21762.229102167184,32.29
1507904,25752.0,9379.65983224604,49.66
1507953,111554.0,11573.022930598634,37.61
1507961,11971.0,6926.656085540055,67.66
1507979,19063.0,27239.04946755495,19.99
1508001,64604.0,16093.755804594142,35.86
1508035,31549.0,9033.693619449112,51.08
1508050,19344.0,16921.52605459057,29.02
1508084,40661.0,24200.978824918227,21.08
1508100,116605.0,48136.31490930921,10.8
1508126,62286.0,32037.10304081174,12.38
1508159,45395.0,17050.42405551272,29.69
1508209,54650.0,8718.15187557182,46.08
1508308,62093.0,9951.9108434123,45.97
1508357,15421.0,274315.8679722456,3.34
1508407,45416.0,35325.36991368681,18.6
1600055,5577.0,16521.247982786444,73.02
1600105,9265.0,17218.34862385321,61.4
1600154,17625.0,25721.021276595744,48.45
1600204,11493.0,16257.896110676063,63.67
1600212,6217.0,15279.39520669133,64.61
1600238,8151.0,71001.96294933137,17.7
1600253,5730.0,15336.474694589879,72.7
1600279,52302.0,21692.17238346526,47.66
1600303,522357.0,24768.675446102952,42.25
1600402,22468.0,16689.82552964216,66.59
1600501,28534.0,18540.79343940562,60.28
1600535,22927.0,16324.202904871985,65.41
1600550,5370.0,15750.279329608938,66.88
1600600,124808.0,20134.254214473433,53.02
1600709,18217.0,14331.119284185103,69.83
1600808,16572.0,14295.015689114169,75.52
1700251,2609.0,42980.06899195094,20.99
1700301,7049.0,23475.670307845085,37.58
1700350,5303.0,116268.33867622101,7.31
1700400,6905.0,39643.881245474295,19.46
1700707,8381.0,56569.74108101658,16.01
1701002,9435.0,16933.65129835718,46.12
1701051,3475.0,13892.374100719424,61.25
1701101,4901.0,52216.2823913487,16.65
1701309,5705.0,17255.21472392638,44.4
1701903,7223.0,33261.248788592,23.41
1702000,8418.0,41464.71846044191,19.27
1702109,186245.0,28129.882681414267,29.71
1702158,5856.0,17393.784153005465,45.64
1702208,36573.0,14472.151587236485,48.98
1702307,6590.0,49244.76479514416,15.41
1702406,10502.0,21263.56884402971,36.09
1702554,18870.0,16169.475357710651,46.68
1702703,3809.0,15438.697820950381,50.01
1702901,9817.0,14372.211469899155,60.4
1703008,10668.0,14880.108736407949,48.91
1703057,3631.0,49202.42357477279,18.07
1703073,4673.0,24237.10678365076,32.37
1703107,5669.0,21523.372728876344,39.59
1703206,4439.0,23132.236990313133,37.77
1703305,5120.0,27228.515625,27.82
1703602,2221.0,34054.02971634399,32.72
1703701,5540.0,49268.05054151625,16.6
1703800,11644.0,13881.913431810375,52.91
1703826,2293.0,25532.92629742695,36.86
1703842,10505.0,95662.16087577344,8.31
1703867,4499.0,115073.34963325184,10.91
1703883,2627.0,26350.20936429387,39.74
1703891,4165.0,12139.495798319327,65.64
1703909,5514.0,70637.10554951034,11.69
1704105,2966.0,21765.677680377612,39.33
1704600,1415.0,28144.16961130742,36.34
1705102,3330.0,44736.636636636635,19.55
1705508,36271.0,23769.374982768604,34.18
1705557,4870.0,15713.34702258727,50.9
1705607,4070.0,16665.601965601967,51.93
1706001,5690.0,35759.7539543058,24.23
1706100,7268.0,24393.780957622454,31.8
1706258,1749.0,44965.694682675814,24.55
1706506,6250.0,38709.12,20.87
1707009,22704.0,28401.559196617338,26.09
1707108,6986.0,35676.35270541082,23.46
1707207,7173.0,30133.69580370835,25.61
1707306,4686.0,43697.18309859155,19.58
1707405,11280.0,10525.17730496454,68.13
1707553,3824.0,23300.20920502092,36.38
1707652,5222.0,49167.36882420529,16.43
1707702,8892.0,14543.74718848403,48.77
1708205,18358.0,77025.71086174964,10.05
1708254,2615.0,89062.3326959847,15.52
1708304,5136.0,37675.623052959505,20.91
1709005,13169.0,17535.424102057863,42.47
1709302,26403.0,33344.80930197326,23.98
1709500,88428.0,29950.015832089382,30.89
1709807,2088.0,22879.310344827587,43.25
1710508,7471.0,24931.066791594163,31.97
1710706,5801.0,14240.820548181347,55.82
1710904,3814.0,44971.68327215522,18.58
1711100,2412.0,29013.266998341624,32.39
1711506,3906.0,25055.043522785458,35.03
1711803,2174.0,20420.883164673414,46.64
1711902,13989.0,71373.57924083208,11.5
1711951,4470.0,20006.48769574944,40.26
1712009,3199.0,20132.854016880276,61.43
1712157,1984.0,19087.701612903227,47.27
1712405,3727.0,17797.692514086397,42.59
1712454,3200.0,22243.75,39.8
1712504,5332.0,47323.89347336834,17.54
1712702,2773.0,91006.1305445366,10.53
1712801,3470.0,16112.680115273775,57.98
1713205,17628.0,36419.50306330837,21.19
1713304,13551.0,28804.147295402552,27.6
1713601,8182.0,36212.173062820824,19.39
1713700,2311.0,32455.214192990046,29.45
1713809,6830.0,13961.493411420204,52.93
1713957,3623.0,19173.337013524702,47.03
1714203,9256.0,26722.126188418322,29.53
1714302,3772.0,15413.308589607635,55.51
1714880,12014.0,26661.47827534543,33.46
1715002,4348.0,23209.521619135234,33.53
1715101,4450.0,19038.876404494382,44.04
1715150,2332.0,15231.989708404803,55.86
1715259,2768.0,15416.184971098266,56.41
1715507,1124.0,26217.97153024911,45.67
1715705,6234.0,29731.953801732434,29.19
1715754,7694.0,22110.475695347024,36.06
1716109,52521.0,28820.719331315093,28.65
1716208,10426.0,30251.007097640515,25.95
1716307,4885.0,18663.050153531218,43.04
1716505,13964.0,60775.637353193924,13.43
1716604,11996.0,61181.143714571524,13.18
1716653,5546.0,19402.45221781464,43.14
1716703,8078.0,22628.868531814805,35.29
1717008,4414.0,19258.269143633894,42.67
1717206,3038.0,29605.003291639237,29.58
1717503,7830.0,46221.58365261814,17.46
1717800,4586.0,14426.079372001745,53.86
1717909,8192.0,14791.259765625,52.85
1718006,3200.0,14700.9375,55.77
1718204,53618.0,68063.35558954082,16.13
1718303,8563.0,10876.91229709214,69.2
1718402,3668.0,17765.812431842965,47.83
1718451,2746.0,30103.058994901676,32.21
1718501,4389.0,20843.01663249032,37.95
1718550,4723.0,14511.115816218506,56.7
1718659,2211.0,13180.46132971506,74.53
1718709,2879.0,29846.47447030219,29.16
1718758,6498.0,17150.353955063096,44.0
1718808,4876.0,29914.47908121411,26.59
1718840,3371.0,34629.48679916938,24.76
1718865,7678.0,22913.128418859076,34.0
1718881,3537.0,39476.95787390444,20.11
1718899,2407.0,74895.3053593685,12.77
1718907,4864.0,63257.60690789474,14.3
1719004,2928.0,16426.912568306012,54.08
1720002,2530.0,16573.517786561264,52.11
1720101,5457.0,13485.43155579989,57.52
1720150,1610.0,22696.273291925467,46.72
1720200,12445.0,20555.564483728405,35.98
1720259,3106.0,15926.27173213136,55.05
1720309,4898.0,12618.211514904042,60.37
1720499,3848.0,40731.288981288984,22.05
1720655,5452.0,44080.887747615554,18.12
1720804,8965.0,14820.078081427775,56.39
1720853,2007.0,265258.59491778776,3.63
1720903,16966.0,18758.281268419192,39.99
1720937,2183.0,16145.671094823638,56.42
1720978,2831.0,51821.971034969974,19.35
1721000,313349.0,32977.347941113585,28.03
1721109,7688.0,24892.429760665975,32.0
1721208,22820.0,16329.623137598597,48.62
1721257,1952.0,60880.63524590164,16.57
1721307,2785.0,13866.786355475762,62.88
1722081,11783.0,15566.833573792752,45.49
1722107,11500.0,40958.260869565216,20.2
2100055,113783.0,33647.67144476767,15.28
2100105,6631.0,12826.421354245213,37.45
2100154,12731.0,7983.819024428561,61.44
2100204,22126.0,6723.447527795354,59.58
2100303,26979.0,9244.078727899478,48.81
2100402,8250.0,8668.121212121212,47.52
2100436,28066.0,10800.185277560036,37.71
2100477,31967.0,7874.339162261082,59.23
2100501,11233.0,51541.08430517226,10.28
2100550,7047.0,9961.402015041862,48.75
2100600,42017.0,9249.49425232644,40.42
2100709,27170.0,7641.001104158999,49.47
2100808,16054.0,9287.52958764171,48.38
2100832,17582.0,7618.359686042543,58.09
2100873,15675.0,6489.824561403509,63.25
2100907,47095.0,6004.22550164561,57.95
2100956,32825.0,8844.325971058644,44.03
2101004,30014.0,10436.829479576198,41.68
2101103,12234.0,7963.217263364394,53.85
2101202,105094.0,14411.47924715017,29.02
2101251,17446.0,34350.854063968814,13.97
2101301,18726.0,6561.572145679804,64.82
2101350,5696.0,6950.491573033708,63.0
2101400,96951.0,65057.86428195686,7.49
2101509,19026.0,14114.264690423632,30.51
2101608,88895.0,10002.69981438776,41.57
2101707,63891.0,9949.93035012756,39.35
2101731,7586.0,8003.0319008700235,70.34
2101772,11347.0,9477.659293205252,58.38
2101806,5643.0,12962.962962962964,34.87
2101905,21317.0,6479.054275930009,56.3
2101939,6102.0,17226.155358898723,27.0
2101970,8494.0,7951.495173063339,53.13
2102002,42010.0,9791.76386574625,44.21
2102036,35095.0,10704.231371990312,43.37
2102077,16578.0,7115.454216431415,52.37
2102101,36900.0,8906.043360433605,48.06
2102150,8841.0,8038.117859970592,54.27
2102200,28916.0,9611.253285378338,54.62
2102309,23993.0,9947.60971950152,40.07
2102325,73595.0,10164.114409946327,38.61
2102358,15503.0,7900.019351093337,49.34
2102374,9524.0,6402.141957160857,66.88
2102408,11255.0,6277.47667703243,66.58
2102507,19521.0,6561.036832129502,61.73
2102556,14530.0,14728.90571231934,31.42
2102606,20376.0,7203.965449548488,56.82
2102705,22236.0,6898.632847634467,60.91
2102754,10937.0,25964.706958032366,22.75
2102804,24151.0,21775.205995610948,20.64
2102903,24095.0,8383.4405478315,50.68
2103000,166159.0,12714.55653921846,36.32
2103109,10711.0,7336.663243394641,57.41
2103125,8806.0,6625.82330229389,66.6
2103158,13876.0,7476.001729605074,56.88
2103174,22056.0,9102.14907508161,51.94
2103208,80705.0,11081.91561861099,40.56
2103257,14855.0,12356.782228205991,35.5
2103307,123368.0,13363.14927695999,31.68
2103406,49804.0,9353.847080555779,48.08
2103505,41443.0,13347.754747484496,34.91
2103554,16559.0,8888.761398635183,57.9
2103604,65788.0,8110.582477047486,47.97
2103703,32559.0,8124.819558340244,49.88
2103752,12923.0,14717.403079780237,40.27
2103802,23393.0,11223.656649425042,34.98
2103901,11451.0,7589.206182866125,58.06
2104008,16971.0,9367.627128631195,46.78
2104057,43097.0,26331.786435250713,14.67
2104073,8506.0,13873.030801786974,31.28
2104081,10559.0,9510.1808883417,39.98
